Processo,Evento,Time (ms),REF,Measure,EC Sensor Calibration Value,pH Sensor Calibration Value,Nitrate Sensor Calibration Value,GPIO2,GPIO4,GPIO5,GPIO12,GPIO13,GPIO14,GPIO15,GPIO16,GPIO17,GPIO18,GPIO19,GPIO21,GPIO22,GPIO23,GPIO25,GPIO26,GPIO27,GPIO32,GPIO33
,,Element,,,,        ,,V1 (ON/OFF) (H20/Air Vent),V2 (ON/OFF) (Sample/Comun),V5 (ON/OFF)  (In pH=4/Comun ),V6 (ON/OFF)  (In pH=7/Comun ),PP2 (in to Sensor),PP1 (Out),V4 (OFF TANK ON V3),,,V3 ((OFF pH4.01 ON pH6.86),,,,,,,,,
,Limpar Amostra,240000,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar esvaziar circuito,59000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vinj Sample,30000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar plug Sample,10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Esperar,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Medir Sample pH,1000,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar esvaziar circuito,50000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vinj Sample,2500,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diluir (H20 D1/2),2500,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vinj Sample,2500,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diluir (H20 D1/2),2500,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar plug Sample (Mixer),10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Esperar,219000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Medir Sample EC,1000,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ar esvaziar circuito,50000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
